,70.0,82.5,95.0,107.5,120.0
1,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
2,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
3,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
4,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
5,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
6,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
7,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
8,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
9,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
10,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
11,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
12,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
13,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
14,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
15,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
16,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
17,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
18,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
19,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
20,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
21,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
22,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
23,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
24,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171,6195.732385051171
